iter	Accuracy	Logloss
0	0.9274193548	0.6341655341
1	0.9274193548	0.5700825633
2	0.9193548387	0.5237474974
3	0.9274193548	0.4871480561
4	0.9112903226	0.4491872864
5	0.9193548387	0.4209917806
6	0.9112903226	0.3955296526
7	0.9112903226	0.3780448553
8	0.9112903226	0.3569571432
9	0.9112903226	0.3410894763
10	0.9112903226	0.3243857742
11	0.9112903226	0.3107402111
12	0.9112903226	0.2985921094
13	0.9112903226	0.2845216494
14	0.9112903226	0.2749768902
15	0.9112903226	0.2700214568
16	0.9112903226	0.2596765457
17	0.9112903226	0.2482806422
18	0.9193548387	0.2449937691
19	0.9193548387	0.2374839982
20	0.9193548387	0.2327813544
21	0.935483871	0.2277583607
22	0.9193548387	0.2223166287
23	0.9193548387	0.2191930747
24	0.9193548387	0.2150408995
25	0.9193548387	0.2123191371
26	0.935483871	0.2063990827
27	0.9274193548	0.2024135547
28	0.9274193548	0.200492904
29	0.935483871	0.198331912
30	0.935483871	0.196010871
31	0.935483871	0.1945733349
32	0.9435483871	0.1889890497
33	0.9435483871	0.1876042804
34	0.9435483871	0.1864597539
35	0.9435483871	0.1847940141
36	0.9435483871	0.1816700943
37	0.9435483871	0.1803383985
38	0.9435483871	0.1779383481
39	0.9435483871	0.1768963278
40	0.9516129032	0.1734305958
41	0.9516129032	0.1729542923
42	0.9516129032	0.1710188559
43	0.9516129032	0.1705817935
44	0.9516129032	0.1693227579
45	0.9516129032	0.1679383666
46	0.9516129032	0.1674488135
47	0.9516129032	0.1636618306
48	0.9516129032	0.1621688722
49	0.9516129032	0.1609672892
50	0.9516129032	0.1596251017
51	0.9516129032	0.1578143165
52	0.9516129032	0.156891233
53	0.9516129032	0.1552273344
54	0.9516129032	0.153369623
55	0.9516129032	0.1526278241
56	0.9516129032	0.1519086478
57	0.9516129032	0.150159721
58	0.9516129032	0.1500307125
59	0.9596774194	0.1492999194
60	0.9596774194	0.14862167
61	0.9596774194	0.1481591764
62	0.9596774194	0.1470883741
63	0.9596774194	0.1459391629
64	0.9596774194	0.1455356265
65	0.9596774194	0.1448923092
66	0.9596774194	0.1429954948
67	0.9596774194	0.1422860377
68	0.9596774194	0.1411574799
69	0.9596774194	0.1406892506
70	0.9596774194	0.1403142437
71	0.9596774194	0.1396436161
72	0.9596774194	0.138987591
73	0.9596774194	0.1379982742
74	0.9596774194	0.1371865434
75	0.9596774194	0.136845657
76	0.9596774194	0.1364458737
77	0.9596774194	0.1360221438
78	0.9596774194	0.135384138
79	0.9596774194	0.134971635
80	0.9596774194	0.1347505699
81	0.9596774194	0.1340152379
82	0.9596774194	0.1337827178
83	0.9596774194	0.13362829
84	0.9596774194	0.1330696883
85	0.9596774194	0.1327079844
86	0.9596774194	0.1321882536
87	0.9596774194	0.1318697454
88	0.9596774194	0.1315299935
89	0.9596774194	0.1305845295
90	0.9596774194	0.129524165
91	0.9596774194	0.1293123742
92	0.9596774194	0.1279601654
93	0.9596774194	0.1276442365
94	0.9596774194	0.1271781305
95	0.9596774194	0.1266959728
96	0.9596774194	0.1265363229
97	0.9596774194	0.1255953951
98	0.9596774194	0.1252689177
99	0.9596774194	0.124893094
100	0.9596774194	0.1247560031
101	0.9596774194	0.12414755
102	0.9596774194	0.1238458306
103	0.9596774194	0.1228476808
104	0.9596774194	0.1222299968
